Quaternary,Quat_code
T90B,18090002
T90C,18090003
T90D,18090004
T90E,18090005
T90F,18090006
T90G,18090007
U10A,19010001
U10B,19010002
U10C,19010003
U10D,19010004
U10E,19010005
U10F,19010006
U10G,19010007
U10H,19010008
U10J,19010009
U10K,19010010
U10L,19010011
U10M,19010012
U20A,19020001
U20B,19020002
U20C,19020003
U20D,19020004
U20E,19020005
U20F,19020006
U20G,19020007
U20H,19020008
U20J,19020009
U20K,19020010
U20L,19020011
U20M,19020012
U30A,19030001
U30B,19030002
U30C,19030003
U30D,19030004
U30E,19030005
U40A,19040001
U40B,19040002
U40C,19040003
U40D,19040004
U40E,19040005
U40F,19040006
U40G,19040007
U40H,19040008
U40J,19040009
U50A,19050001
U60A,19060001
U60B,19060002
U60C,19060003
U60D,19060004
U60E,19060005
U60F,19060006
U70A,19070001
U70B,19070002
U70C,19070003
U70D,19070004
U70E,19070005
U70F,19070006
U80A,19080001
U80B,19080002
U80C,19080003
U80D,19080004
U80E,19080005
U80F,19080006
U80G,19080007
U80H,19080008
U80J,19080009
U80K,19080010
U80L,19080011
V11A,20010101
V11B,20010102
V11C,20010103
V11D,20010104
V11E,20010105
V11F,20010106
V11G,20010107
V11H,20010108
V11J,20010109
V11K,20010110
V11L,20010111
V11M,20010112
V12A,20010201
V12B,20010202
V12C,20010203
V12D,20010204
V12E,20010205
V12F,20010206
V12G,20010207
V13A,20010301
V13B,20010302
V13C,20010303
V13D,20010304
V13E,20010305
V14A,20010401
V14B,20010402
V14C,20010403
V14D,20010404
V14E,20010405
V20A,20020001
V20B,20020002
V20C,20020003
V20D,20020004
V20E,20020005
V20F,20020006
V20G,20020007
V20H,20020008
V20J,20020009
V31A,20030101
V31B,20030102
V31C,20030103
V31D,20030104
V31E,20030105
V31F,20030106
V31G,20030107
V31H,20030108
V31J,20030109
V31K,20030110
V32A,20030201
V32B,20030202
V32C,20030203
V32D,20030204
V32E,20030205
V32F,20030206
V32G,20030207
V32H,20030208
V33A,20030301
V33B,20030302
V33C,20030303
V33D,20030304
V40A,20040001
V40B,20040002
V40C,20040003
V40D,20040004
V40E,20040005
V50A,20050001
V50B,20050002
V50C,20050003
V50D,20050004
V60A,20060001
V60B,20060002
V60C,20060003
V60D,20060004
V60E,20060005
V60F,20060006
V60G,20060007
V60H,20060008
V60J,20060009
V60K,20060010
V70A,20070001
V70B,20070002
V70C,20070003
V70D,20070004
V70E,20070005
V70F,20070006
V70G,20070007
W11A,21010101
W11B,21010102
W11C,21010103
W12A,21010201
W12B,21010202
W12C,21010203
W12D,21010204
W12E,21010205
W12F,21010206
W12G,21010207
W12H,21010208
W12J,21010209
W13A,21010301
W13B,21010302
W21A,21020101
W21B,21020102
W21C,21020103
W21D,21020104
W21E,21020105
W21F,21020106
W21G,21020107
W21H,21020108
W21J,21020109
W21K,21020110
W21L,21020111
W22A,21020201
W22B,21020202
W22C,21020203
W22D,21020204
W22E,21020205
W22F,21020206
W22G,21020207
W22H,21020208
W22J,21020209
W22K,21020210
